"name","version","build","channel"
"_openmp_mutex","4.5",,"conda-forge"
"_python_abi3_support","1.0",,"conda-forge"
"absl-py","2.5.0",,"conda-forge"
"amply","0.1.7",,"conda-forge"
"anndata","0.12.19",,"conda-forge"
"annotated-doc","0.0.5",,"conda-forge"
"annotated-types","0.8.0",,"conda-forge"
"aom","3.14.1",,"conda-forge"
"argparse-dataclass","2.0.0",,"conda-forge"
"arpack","3.9.1",,"conda-forge"
"array-api-compat","1.15.0",,"conda-forge"
"asttokens","3.0.2",,"conda-forge"
"attrs","26.1.0",,"conda-forge"
"aws-c-auth","0.10.4",,"conda-forge"
"aws-c-cal","0.9.14",,"conda-forge"
"aws-c-common","0.14.2",,"conda-forge"
"aws-c-compression","0.3.2",,"conda-forge"
"aws-c-event-stream","0.7.1",,"conda-forge"
"aws-c-http","0.11.0",,"conda-forge"
"aws-c-io","0.27.3",,"conda-forge"
"aws-c-mqtt","0.16.0",,"conda-forge"
"aws-c-s3","0.12.8",,"conda-forge"
"aws-c-sdkutils","0.2.7",,"conda-forge"
"aws-checksums","0.2.10",,"conda-forge"
"aws-crt-cpp","0.40.1",,"conda-forge"
"aws-sdk-cpp","1.11.833",,"conda-forge"
"azure-core-cpp","1.16.3",,"conda-forge"
"azure-identity-cpp","1.13.3",,"conda-forge"
"azure-storage-blobs-cpp","12.18.0",,"conda-forge"
"azure-storage-common-cpp","12.14.0",,"conda-forge"
"azure-storage-files-datalake-cpp","12.16.0",,"conda-forge"
"backports.zstd","1.6.0",,"conda-forge"
"bedtools","2.31.1",,"bioconda"
"biopython","1.88",,"conda-forge"
"bleach","6.4.0",,"conda-forge"
"blosc","1.21.6",,"conda-forge"
"brotli","1.2.0",,"conda-forge"
"brotli-bin","1.2.0",,"conda-forge"
"brotli-python","1.2.0",,"conda-forge"
"brunsli","0.1",,"conda-forge"
"bzip2","1.0.8",,"conda-forge"
"c-ares","1.34.8",,"conda-forge"
"c-blosc2","3.0.3",,"conda-forge"
"ca-certificates","2026.7.22",,"conda-forge"
"cached-property","1.5.2",,"conda-forge"
"cached_property","1.5.2",,"conda-forge"
"cairo","1.18.4",,"conda-forge"
"certifi","2026.7.22",,"conda-forge"
"charls","2.4.4",,"conda-forge"
"charset-normalizer","3.4.9",,"conda-forge"
"coin-or-cbc","2.10.13",,"conda-forge"
"coin-or-cgl","0.60.10",,"conda-forge"
"coin-or-clp","1.17.11",,"conda-forge"
"coin-or-osi","0.108.12",,"conda-forge"
"coin-or-utils","2.11.13",,"conda-forge"
"colorama","0.4.6",,"conda-forge"
"coloredlogs","15.0.1",,"conda-forge"
"comm","0.2.3",,"conda-forge"
"conda-inject","1.3.2",,"conda-forge"
"configargparse","1.7.5",,"conda-forge"
"connection_pool","0.0.3",,"conda-forge"
"contourpy","1.3.3",,"conda-forge"
"cpython","3.11.15",,"conda-forge"
"cuda-crt-tools","12.9.86",,"conda-forge"
"cuda-cudart","12.9.79",,"conda-forge"
"cuda-cudart_linux-64","12.9.79",,"conda-forge"
"cuda-cuobjdump","12.9.82",,"conda-forge"
"cuda-cupti","12.9.79",,"conda-forge"
"cuda-nvcc-tools","12.9.86",,"conda-forge"
"cuda-nvdisasm","12.9.88",,"conda-forge"
"cuda-nvrtc","12.9.86",,"conda-forge"
"cuda-nvtx","12.9.79",,"conda-forge"
"cuda-nvvm-tools","12.9.86",,"conda-forge"
"cuda-version","12.9",,"conda-forge"
"cudnn","9.10.2.21",,"conda-forge"
"cusparselt","0.7.0.0",,"conda-forge"
"cycler","0.12.1",,"conda-forge"
"dav1d","1.2.1",,"conda-forge"
"debugpy","1.8.21",,"conda-forge"
"decorator","5.3.1",,"conda-forge"
"deprecated","1.3.1",,"conda-forge"
"docrep","0.3.2",,"conda-forge"
"docutils","0.22.4",,"conda-forge"
"donfig","0.8.1.post1",,"conda-forge"
"dpath","2.2.0",,"conda-forge"
"eido","0.2.6",,"conda-forge"
"executing","2.2.1",,"conda-forge"
"filelock","3.32.0",,"conda-forge"
"fmt","12.1.0",,"conda-forge"
"font-ttf-dejavu-sans-mono","2.37",,"conda-forge"
"font-ttf-inconsolata","3.000",,"conda-forge"
"font-ttf-source-code-pro","2.038",,"conda-forge"
"font-ttf-ubuntu","0.83",,"conda-forge"
"fontconfig","2.18.2",,"conda-forge"
"fonts-conda-ecosystem","1",,"conda-forge"
"fonts-conda-forge","1",,"conda-forge"
"fonttools","4.63.0",,"conda-forge"
"freetype","2.14.3",,"conda-forge"
"fribidi","1.0.16",,"conda-forge"
"fsspec","2026.6.0",,"conda-forge"
"gflags","2.3.1",,"conda-forge"
"giflib","5.2.2",,"conda-forge"
"gitdb","4.0.12",,"conda-forge"
"gitpython","3.1.57",,"conda-forge"
"glog","0.7.1",,"conda-forge"
"glpk","5.0",,"conda-forge"
"gmp","6.3.0",,"conda-forge"
"gmpy2","2.3.0",,"conda-forge"
"google-crc32c","1.8.0",,"conda-forge"
"graphite2","1.3.15",,"conda-forge"
"gravis","0.1.0",,"conda-forge"
"greenlet","3.5.4",,"conda-forge"
"grpcio","1.82.1",,"conda-forge"
"gtfparse","2.8.0",,"bioconda"
"h2","4.4.0",,"conda-forge"
"h5py","3.16.0",,"conda-forge"
"hdf5","2.1.0",,"conda-forge"
"hpack","4.2.0",,"conda-forge"
"humanfriendly","10.0",,"conda-forge"
"hyperframe","6.1.0",,"conda-forge"
"icu","78.3",,"conda-forge"
"idna","3.18",,"conda-forge"
"igraph","1.0.1",,"conda-forge"
"imagecodecs","2026.3.6",,"conda-forge"
"imageio","2.37.0",,"conda-forge"
"immutables","0.21",,"conda-forge"
"importlib-metadata","9.0.0",,"conda-forge"
"ipycytoscape","1.3.3",,"pypi"
"ipykernel","7.3.0",,"conda-forge"
"ipython","9.15.0",,"conda-forge"
"ipython_pygments_lexers","1.1.1",,"conda-forge"
"ipywidgets","8.1.8",,"pypi"
"jedi","0.20.0",,"conda-forge"
"jinja2","3.1.6",,"conda-forge"
"joblib","1.5.3",,"conda-forge"
"jsonpickle","4.1.2",,"conda-forge"
"jsonschema","4.26.0",,"conda-forge"
"jsonschema-specifications","2025.9.1",,"conda-forge"
"jupyter_client","8.9.1",,"conda-forge"
"jupyter_core","5.9.1",,"conda-forge"
"jupyterlab-widgets","3.0.16",,"pypi"
"jupytext","1.19.5",,"conda-forge"
"jxrlib","1.1",,"conda-forge"
"kaggle","2.2.4",,"pypi"
"kagglehub","1.0.2",,"pypi"
"kagglesdk","0.1.37",,"conda-forge"
"keyutils","1.6.3",,"conda-forge"
"kiwisolver","1.5.0",,"conda-forge"
"krb5","1.22.2",,"conda-forge"
"lazy-loader","0.5",,"conda-forge"
"lcms2","2.19.1",,"conda-forge"
"ld_impl_linux-64","2.46.1",,"conda-forge"
"legacy-api-wrap","1.5",,"conda-forge"
"leidenalg","0.12.0",,"conda-forge"
"lerc","4.1.0",,"conda-forge"
"libabseil","20260526.0",,"conda-forge"
"libaec","1.1.5",,"conda-forge"
"libarrow","25.0.0",,"conda-forge"
"libarrow-acero","25.0.0",,"conda-forge"
"libarrow-compute","25.0.0",,"conda-forge"
"libarrow-dataset","25.0.0",,"conda-forge"
"libarrow-substrait","25.0.0",,"conda-forge"
"libavif16","1.4.2",,"conda-forge"
"libblas","3.11.0",,"conda-forge"
"libbrotlicommon","1.2.0",,"conda-forge"
"libbrotlidec","1.2.0",,"conda-forge"
"libbrotlienc","1.2.0",,"conda-forge"
"libcap","2.78",,"conda-forge"
"libcblas","3.11.0",,"conda-forge"
"libcrc32c","1.1.2",,"conda-forge"
"libcublas","12.9.2.10",,"conda-forge"
"libcudnn","9.10.2.21",,"conda-forge"
"libcudnn-dev","9.10.2.21",,"conda-forge"
"libcudss0","0.4.0.2",,"conda-forge"
"libcufft","11.4.1.4",,"conda-forge"
"libcufile","1.14.1.1",,"conda-forge"
"libcurand","10.3.10.19",,"conda-forge"
"libcurl","8.21.0",,"conda-forge"
"libcusolver","11.7.5.82",,"conda-forge"
"libcusparse","12.5.10.65",,"conda-forge"
"libdeflate","1.25",,"conda-forge"
"libedit","3.1.20250104",,"conda-forge"
"libev","4.33",,"conda-forge"
"libevent","2.1.12",,"conda-forge"
"libexpat","2.8.1",,"conda-forge"
"libffi","3.5.2",,"conda-forge"
"libfreetype","2.14.3",,"conda-forge"
"libfreetype6","2.14.3",,"conda-forge"
"libgcc","15.2.0",,"conda-forge"
"libgcc-ng","15.2.0",,"conda-forge"
"libgfortran","15.2.0",,"conda-forge"
"libgfortran5","15.2.0",,"conda-forge"
"libglib","2.88.2",,"conda-forge"
"libgomp","15.2.0",,"conda-forge"
"libgoogle-cloud","3.8.0",,"conda-forge"
"libgoogle-cloud-storage","3.8.0",,"conda-forge"
"libgrpc","1.82.1",,"conda-forge"
"libharfbuzz","14.2.1",,"conda-forge"
"libhwloc","2.13.0",,"conda-forge"
"libhwy","1.4.0",,"conda-forge"
"libiconv","1.18",,"conda-forge"
"libjpeg-turbo","3.2.0",,"conda-forge"
"libjxl","0.11.2",,"conda-forge"
"liblapack","3.11.0",,"conda-forge"
"liblapacke","3.11.0",,"conda-forge"
"libleidenalg","0.13.0",,"conda-forge"
"libllvm20","20.1.8",,"conda-forge"
"liblzma","5.8.3",,"conda-forge"
"libmagma","2.8.0",,"conda-forge"
"libnghttp2","1.68.1",,"conda-forge"
"libnl","3.11.0",,"conda-forge"
"libnsl","2.0.1",,"conda-forge"
"libnvjitlink","12.9.86",,"conda-forge"
"libopenblas","0.3.33",,"conda-forge"
"libopentelemetry-cpp","1.27.0",,"conda-forge"
"libopentelemetry-cpp-headers","1.27.0",,"conda-forge"
"libparquet","25.0.0",,"conda-forge"
"libpng","1.6.58",,"conda-forge"
"libprotobuf","7.35.1",,"conda-forge"
"libpsl","0.22.0",,"conda-forge"
"libraqm","0.10.5",,"conda-forge"
"libre2-11","2025.11.05",,"conda-forge"
"libsodium","1.0.22",,"conda-forge"
"libsqlite","3.53.3",,"conda-forge"
"libssh2","1.11.1",,"conda-forge"
"libstdcxx","15.2.0",,"conda-forge"
"libstdcxx-ng","15.2.0",,"conda-forge"
"libsystemd0","261.1",,"conda-forge"
"libthrift","0.22.0",,"conda-forge"
"libtiff","4.7.2",,"conda-forge"
"libtorch","2.13.0",,"conda-forge"
"libudev1","261.1",,"conda-forge"
"libutf8proc","2.11.3",,"conda-forge"
"libuuid","2.42.2",,"conda-forge"
"libuv","1.52.1",,"conda-forge"
"libwebp-base","1.6.0",,"conda-forge"
"libxcb","1.17.0",,"conda-forge"
"libxcrypt","4.4.36",,"conda-forge"
"libxml2","2.15.3",,"conda-forge"
"libxml2-16","2.15.3",,"conda-forge"
"libxml2-devel","2.15.3",,"conda-forge"
"libzlib","1.3.2",,"conda-forge"
"libzopfli","1.0.3",,"conda-forge"
"lightning","2.6.5",,"conda-forge"
"lightning-utilities","0.15.3",,"conda-forge"
"llvm-openmp","23.1.0",,"conda-forge"
"llvmlite","0.48.0",,"conda-forge"
"logmuse","0.3.0",,"conda-forge"
"lz4-c","1.10.0",,"conda-forge"
"markdown","3.10.2",,"conda-forge"
"markdown-it-py","4.2.0",,"conda-forge"
"markupsafe","3.0.3",,"conda-forge"
"matplotlib-base","3.11.1",,"conda-forge"
"matplotlib-inline","0.2.2",,"conda-forge"
"mdit-py-plugins","0.6.1",,"conda-forge"
"mdurl","0.1.2",,"conda-forge"
"ml-collections","1.0.0",,"conda-forge"
"mpc","1.4.0",,"conda-forge"
"mpfr","4.2.2",,"conda-forge"
"mpmath","1.3.0",,"pypi"
"msgpack-python","1.2.1",,"conda-forge"
"mudata","0.3.10",,"conda-forge"
"munkres","1.1.4",,"conda-forge"
"narwhals","2.24.0",,"conda-forge"
"natsort","8.4.0",,"conda-forge"
"nbformat","5.10.4",,"conda-forge"
"nccl","2.30.7.1",,"conda-forge"
"ncls","0.0.70",,"bioconda"
"ncurses","6.6",,"conda-forge"
"nest-asyncio2","1.7.2",,"conda-forge"
"networkx","3.6.1",,"conda-forge"
"nlohmann_json","3.12.0",,"conda-forge"
"nomkl","1.0",,"conda-forge"
"numba","0.66.0",,"conda-forge"
"numcodecs","0.16.5",,"conda-forge"
"numexpr","2.14.2",,"conda-forge"
"numpy","2.4.6",,"conda-forge"
"nvidia-cublas-cu12","12.4.5.8",,"pypi"
"nvidia-cuda-cupti-cu12","12.4.127",,"pypi"
"nvidia-cuda-nvrtc-cu12","12.4.127",,"pypi"
"nvidia-cuda-runtime-cu12","12.4.127",,"pypi"
"nvidia-cudnn-cu12","9.1.0.70",,"pypi"
"nvidia-cufft-cu12","11.2.1.3",,"pypi"
"nvidia-curand-cu12","10.3.5.147",,"pypi"
"nvidia-cusolver-cu12","11.6.1.9",,"pypi"
"nvidia-cusparse-cu12","12.3.1.170",,"pypi"
